input	score	concept_id	concept_name	concept_type
- HIV Infection.	861	C0021311	Infection	Disease or Syndrome
- HIV Infection.	1000	C0019693	HIV infection (HIV Infections)	Disease or Syndrome
- Hurler Syndrome (MPS-1) With Short Stature and Muscle Wasting	1000	C0086795	Hurler's Syndrome (Pfaundler-Hurler Syndrome)	Disease or Syndrome
- Hurler Syndrome (MPS-1) With Short Stature and Muscle Wasting	861	C0235394	Wasting	Disease or Syndrome
- Hurler Syndrome (MPS-1) With Short Stature and Muscle Wasting	861	C0039082	Syndrome	Disease or Syndrome
- Hurler Syndrome (MPS-1) With Short Stature and Muscle Wasting	1000	C0026846	Muscle wasting (Muscular Atrophy)	Disease or Syndrome
- Hurler Syndrome (MPS-1) With Short Stature and Muscle Wasting	1000	C0023786	MPS I (Mucopolysaccharidosis I)	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	1000	C0553662	Arthritis, Juvenile Rheumatoid	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	734	C0018099	Gout	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	901	C0003873	Rheumatoid Arthritis	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	827	C0003864	Arthritis	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	861	C0235394	Wasting	Disease or Syndrome
- Juvenile Rheumatoid Arthritis With Muscle Wasting and Short Stature	1000	C0026846	Muscle wasting (Muscular Atrophy)	Disease or Syndrome
-Breast Neoplasms	1000	C1458155	Breast Neoplasms (Mammary Neoplasms)	Neoplastic Process
-Breast Neoplasms	950	C0039981	Thoracic Neoplasms	Neoplastic Process
-Breast Neoplasms	861	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
-Breast Neoplasms	972	C0024667	Neoplasms, Mammary (Animal Mammary Neoplasms)	Neoplastic Process
-Socioeconomic Burden of Disease	1000	C0012634	Disease	Disease or Syndrome
-Unhealthy Children With a History of Prematurity	1000	C0728731	Prematurity (Prematurity of fetus)	Disease or Syndrome
1. Obesity	1000	C0028754	Obesity	Disease or Syndrome
13-valent Pneumococcal Vaccine	712	C0042214	Vaccinia	Disease or Syndrome
13-valent Pneumococcal Vaccine	719	C0010232	Cow Pox (Cowpox)	Disease or Syndrome
2 Years PSA Recurrence Rate	804	C1458156	recurrence (Recurrent Malignant Neoplasm)	Neoplastic Process
2- HIV Infection	901	C0019693	HIV infection (HIV Infections)	Disease or Syndrome
2- HIV Infection	827	C0021311	Infection	Disease or Syndrome
2009 H1N1 Influenza	901	C2076600	H1N1 Influenza (Influenza due to Influenza A virus subtype H1N1)	Disease or Syndrome
2009 H1N1 Influenza	827	C0021400	Influenza	Disease or Syndrome
2009 H1N1 Influenza Virus	812	C0021400	Influenza	Disease or Syndrome
2009 H1N1 Influenza Virus	861	C2076600	H1N1 Influenza (Influenza due to Influenza A virus subtype H1N1)	Disease or Syndrome
21-Hydroxylase Deficiency	827	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
21-Hydroxylase Deficiency	901	C1291314	hydroxylase deficiency (Deficiency of monooxygenase)	Disease or Syndrome
21-Hydroxylase Deficiency	1000	C0852654	21-hydroxylase deficiency	Disease or Syndrome
22q11.2 Deletion Syndrome	1000	C0012236	22q11.2 Deletion Syndrome (DiGeorge Syndrome)	Disease or Syndrome
22q11.2 Deletion Syndrome	812	C0039082	Syndrome	Disease or Syndrome
22q11.2 Deletion Syndrome	923	C2936346	22q11 Deletion Syndrome	Disease or Syndrome
22q11.2 Syndrome	827	C0039082	Syndrome	Disease or Syndrome
3- Followed in West Indies and French Guiana for His Infection	1000	C0021311	Infection	Disease or Syndrome
5'-Nucleotidase Syndrome	1000	C2930876	5'-Nucleotidase syndrome (5-Nucleotidase syndrome)	Disease or Syndrome
5'-Nucleotidase Syndrome	827	C0039082	Syndrome	Disease or Syndrome
5q Minus Syndrome	1000	C0039082	Syndrome	Disease or Syndrome
6-24 Months Old With Rotaviral Diarrhoea	861	C0011991	Diarrhea	Sign or Symptom
a Myocardial Infarction	1000	C0027051	Myocardial Infarction	Disease or Syndrome
A New Flu Virus of Swine Origin	660	C0021400	Flu (Influenza)	Disease or Syndrome
A Study of Clinical and Genetic Mutations in a Family of Neuromyotonia, so Called Isaac's Syndrome	861	C0242287	Isaac's syndrome (Isaacs syndrome)	Disease or Syndrome
A Study of Clinical and Genetic Mutations in a Family of Neuromyotonia, so Called Isaac's Syndrome	1000	C0242287	Neuromyotonia (Isaacs syndrome)	Disease or Syndrome
A Study of Clinical and Genetic Mutations in a Family of Neuromyotonia, so Called Isaac's Syndrome	812	C0039082	Syndrome	Disease or Syndrome
A/H1N1 Influenza	861	C0021400	Influenza	Disease or Syndrome
A/H1N1 Influenza	1000	C2076600	H1N1 Influenza (Influenza due to Influenza A virus subtype H1N1)	Disease or Syndrome
AAA Graft Implant for Primary Aneurysm Treatment	660	C0002940	Aneurysm	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	845	C0152078	Pelvic pain syndrome (Pelvic congestion syndrome)	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	818	C0085696	Chronic prostatitis	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	795	C0033581	prostatitis	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	861	C0150055	Chronic pain	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	795	C0039082	Syndrome	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	954	C1723764	Chronic prostatitis - chronic pelvic pain syndrome (Chronic Prostatitis with Chronic Pelvic Pain Syndrome)	Disease or Syndrome
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	795	C0030193	Pain	Sign or Symptom
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	818	C0030794	Pelvic Pain	Sign or Symptom
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	818	C0850758	Pelvic pain, NOS (Pelvic pain female)	Sign or Symptom
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	868	C0404484	Chronic pelvic pain (Chronic pelvic pain of female)	Sign or Symptom
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome	884	C1298685	Chronic pain syndrome	Disease or Syndrome
Abdominal Abscess	1000	C0243001	Abdominal Abscess	Disease or Syndrome
Abdominal Abscess	861	C0000833	Abscess	Disease or Syndrome
Abdominal Abscess, Pelvic Abscess	1000	C0243001	Abdominal Abscess	Disease or Syndrome
Abdominal Abscess, Pelvic Abscess	1000	C0030785	Pelvic abscess	Disease or Syndrome
Abdominal Abscess, Pelvic Abscess	861	C0000833	Abscess	Disease or Syndrome
Abdominal Aneurysm	1000	C0162871	abdominal aneurysm (Aortic Aneurysm, Abdominal)	Disease or Syndrome
Abdominal Aneurysm	861	C0002940	Aneurysm	Disease or Syndrome
Abdominal Aortic Aneurysm	1000	C0162871	Aortic Aneurysm, Abdominal	Disease or Syndrome
Abdominal Aortic Aneurysm	827	C0002940	Aneurysm	Disease or Syndrome
Abdominal Aortic Aneurysm	901	C0340629	Aortic Aneurysm (Aortic aneurysm without mention of rupture NOS)	Disease or Syndrome
Abdominal Aortic Aneurysm	901	C0003486	Aortic Aneurysm	Disease or Syndrome
Abdominal Aortic Aneurysms	1000	C0162871	Aortic Aneurysms, Abdominal (Aortic Aneurysm, Abdominal)	Disease or Syndrome
Abdominal Aortic Aneurysms	867	C0340629	Aortic Aneurysm (Aortic aneurysm without mention of rupture NOS)	Disease or Syndrome
Abdominal Aortic Aneurysms	901	C0003486	Aortic aneurysms (Aortic Aneurysm)	Disease or Syndrome
Abdominal Aortic Aneurysms	827	C0002940	ANEURYSMS (Aneurysm)	Disease or Syndrome
Abdominal Aortic Aneurysms (AAA)	1000	C0162871	Aortic Aneurysms, Abdominal (Aortic Aneurysm, Abdominal)	Disease or Syndrome
Abdominal Aortic Aneurysms (AAA)	867	C0340629	Aortic Aneurysm (Aortic aneurysm without mention of rupture NOS)	Disease or Syndrome
Abdominal Aortic Aneurysms (AAA)	901	C0003486	Aortic aneurysms (Aortic Aneurysm)	Disease or Syndrome
Abdominal Aortic Aneurysms (AAA)	827	C0002940	ANEURYSMS (Aneurysm)	Disease or Syndrome
Abdominal Cancer	1000	C0153662	abdominal cancer (Malignant neoplasm of abdomen)	Neoplastic Process
Abdominal Cancer	861	C0006826	Cancer (Malignant Neoplasms)	Neoplastic Process
Abdominal Cavity	861	C0011334	cavity (Dental caries)	Disease or Syndrome
Abdominal Compartment Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Abdominal Compartment Syndrome	901	C0009492	Compartment syndrome (Compartment syndromes)	Disease or Syndrome
Abdominal Compartment Syndrome	1000	C1142110	Abdominal Compartment Syndrome	Disease or Syndrome
Abdominal Cramps	777	C0270814	Crampy (Spastic syndrome)	Disease or Syndrome
Abdominal Cramps	777	C1446787	Crampy (Cramping sensation quality)	Sign or Symptom
Abdominal Cramps	1000	C0000729	Abdominal Cramps	Sign or Symptom
Abdominal Cramps	861	C0026821	Cramps (Muscle Cramp)	Sign or Symptom
Abdominal Discomfort	1000	C0232487	Abdominal discomfort	Sign or Symptom
Abdominal Discomfort	861	C0234215	Discomfort (Sensory Discomfort)	Sign or Symptom
Abdominal Discomfort	861	C0231218	DISCOMFORT (Malaise)	Sign or Symptom
Abdominal Hypertension	861	C0020538	Hypertension (Hypertensive disease)	Disease or Syndrome
Abdominal Hysterectomy for Benign Disease	861	C0012634	Disease	Disease or Syndrome
Abdominal Infection	1000	C1112209	Abdominal infection (Intraabdominal Infections)	Disease or Syndrome
Abdominal Infection	861	C0021311	Infection	Disease or Syndrome
Abdominal Neoplasm	1000	C0000735	Neoplasm, Abdominal (Abdominal Neoplasms)	Neoplastic Process
Abdominal Neoplasm	861	C0027651	Neoplasm (Neoplasms)	Neoplastic Process
Abdominal Neoplasms	1000	C0000735	Abdominal Neoplasms	Neoplastic Process
Abdominal Neoplasms	861	C0027651	NEOPLASMS, NOS (Neoplasms)	Neoplastic Process
Abdominal Obesity	1000	C0311277	Obesity, Abdominal	Disease or Syndrome
Abdominal Obesity	861	C0028754	Obesity	Disease or Syndrome
Abdominal Pain	861	C0030193	Pain	Sign or Symptom
Abdominal Pain	1000	C0000737	Abdominal Pain	Sign or Symptom
Abdominal Pain Upper	861	C0030193	Pain	Sign or Symptom
Abdominal Pain Upper	1000	C0000737	Abdominal Pain	Sign or Symptom
Abdominal Pains	1000	C0000737	Pains, Abdominal (Abdominal Pain)	Sign or Symptom
Abdominal Pains	861	C0030193	pains (Pain)	Sign or Symptom
Abdominal Skin Laxity	901	C0010495	Skin laxity (Cutis Laxa)	Disease or Syndrome
Abdominal Wall Defects	793	C1861101	DEFECT (THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT)	Disease or Syndrome
Abetalipoproteinemia	1000	C0000744	Abetalipoproteinaemia (Abetalipoproteinemia)	Disease or Syndrome
Ablation of Atrial Fibrillation	861	C0232197	Fibrillation	Disease or Syndrome
Abnormal Gait Kinematics	734	C0575081	Abnormal gait (Gait abnormality)	Sign or Symptom
Abnormalities, Drug-Induced	827	C0278180	Drugged (Drugged state)	Sign or Symptom
ABO Incompatibility	1000	C0860218	ABO incompatibility	Disease or Syndrome
Abortion, Recurrent	928	C1458156	recurrence (Recurrent Malignant Neoplasm)	Neoplastic Process
Abortion, Second Trimester	789	C0027627	secondary (Neoplasm Metastasis)	Neoplastic Process
Abortion, Septic	928	C0243026	Sepsis (Systemic infection)	Disease or Syndrome
Abortion, Septic	928	C0036690	Sepsis (Septicemia)	Disease or Syndrome
Abscess	1000	C0000833	Abscess	Disease or Syndrome
Abscess Incision and Drainage	694	C0000833	Abscess	Disease or Syndrome
Abscess, Intra-Abdominal	1000	C0000833	Abscess	Disease or Syndrome
Abscess, Peritonsillar	1000	C0000833	Abscess	Disease or Syndrome
Abscesses	1000	C0000833	Abscesses (Abscess)	Disease or Syndrome
Absence of CNS Metastases	1000	C0686377	CNS metastases	Neoplastic Process
Absence of CNS Metastases	861	C0027627	Metastases (Neoplasm Metastasis)	Neoplastic Process
Absence of CNS Metastases	827	C2939420	metastasis (Metastatic Neoplasm)	Neoplastic Process
Absence of CNS Metastases	861	C2939419	Metastases (Secondary Neoplasm)	Neoplastic Process
Absence Seizures	1000	C0014553	Absence Seizures (Absence Epilepsy)	Disease or Syndrome
Absence Seizures	861	C0036572	Seizures	Sign or Symptom
Abstinence Syndrome	1000	C1332133	Abstinence Syndrome	Disease or Syndrome
Abstinence Syndrome	861	C0039082	Syndrome	Disease or Syndrome
Abuse of Prescription Drug	827	C0278180	Drugged (Drugged state)	Sign or Symptom
Acanthosis Nigricans	1000	C0000889	Acanthosis Nigricans	Disease or Syndrome
Accelerated Phase Chronic Myelogenous Leukemia	884	C0023473	Chronic myelogenous leukaemia (Myeloid Leukemia, Chronic)	Neoplastic Process
Accelerated Phase Chronic Myelogenous Leukemia	804	C0023418	Leukaemia (leukemia)	Neoplastic Process
Accelerated Phase Chronic Myelogenous Leukemia	1000	C0023472	accelerated phase chronic myelogenous leukemia (Leukemia, Myeloid, Accelerated Phase)	Neoplastic Process
Accelerated Phase Chronic Myelogenous Leukemia	840	C0023470	Myelogenous Leukemia (Myeloid Leukemia)	Neoplastic Process
Accelerated Phase Chronic Myelogenous Leukemia	853	C1279296	Chronic leukaemia (Chronic leukemia (category))	Neoplastic Process
Accommodation Disorders	983	C0152198	Accommodation disorder (Disorder of accommodation)	Disease or Syndrome
Accommodation Disorders	861	C0012634	Disorders (Disease)	Disease or Syndrome
Accommodative Esotropia	1000	C0155336	Accommodative esotropia (Esotropia with accommodative compensation)	Disease or Syndrome
Accommodative Esotropia	861	C0014877	Esotropia	Disease or Syndrome
Accommodative Esotropia	768	C0849772	crosseyed	Disease or Syndrome
Accommodative Insufficiency	1000	C0339687	Accommodative insufficiency	Disease or Syndrome
Acellular Pertussis	861	C0043167	Pertussis	Disease or Syndrome
Achalasia	1000	C0014848	Achalasia (Esophageal Achalasia)	Disease or Syndrome
Achalasia-Like Dysmotility	1000	C0014848	Achalasia (Esophageal Achalasia)	Disease or Syndrome
Aches	1000	C0234238	Aches (Ache)	Sign or Symptom
Achilles Pain	1000	C0030193	Pain	Sign or Symptom
Achilles Tendinopathy	1000	C1568272	Tendinopathy	Disease or Syndrome
Achilles Tendinosis	1000	C1568363	Tendinosis	Disease or Syndrome
Achilles Tendon Enthesopathy	827	C0242490	Enthesopathy	Disease or Syndrome
Achillodynia	1000	C0231767	Achillodynia	Disease or Syndrome
Acid Maltase Deficiency (AMD)	1000	C0017921	Acid maltase deficiency (Glycogen storage disease type II)	Disease or Syndrome
Acid Maltase Deficiency (AMD)	1000	C0342751	Acid Maltase Deficiency (Generalized glycogen storage disease of infants)	Disease or Syndrome
Acid Maltase Deficiency (AMD)	827	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Acid Maltase Deficiency Disease	861	C0011156	Disease, Deficiency (Deficiency Diseases)	Disease or Syndrome
Acid Maltase Deficiency Disease	645	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Acid Maltase Deficiency Disease	1000	C0017921	Acid Maltase Deficiency Disease (Glycogen storage disease type II)	Disease or Syndrome
Acid Maltase Deficiency Disease	861	C0751753	Deficiency Disease (Carbamoyl-Phosphate Synthase I Deficiency Disease)	Disease or Syndrome
Acid Maltase Deficiency Disease	756	C0342751	Acid Maltase Deficiency (Generalized glycogen storage disease of infants)	Disease or Syndrome
Acid Maltase Deficiency Disease	812	C0012634	Disease	Disease or Syndrome
Acid Peptic Disorder	827	C0012634	Disorder (Disease)	Disease or Syndrome
Acid Reflux Disease	734	C0017168	Acid reflux (Gastroesophageal reflux disease)	Disease or Syndrome
Acid Reflux Disease	827	C0012634	Disease	Disease or Syndrome
Acid Regurgitation	861	C2004489	Regurgitation	Sign or Symptom
Acid Sphingomyelinase Deficiency	901	C2931911	Sphingomyelinase deficiency	Disease or Syndrome
Acid Sphingomyelinase Deficiency	901	C0028064	Sphingomyelinase deficiency (Niemann-Pick Diseases)	Disease or Syndrome
Acid Sphingomyelinase Deficiency	827	C0162429	Deficiency (Malnutrition)	Disease or Syndrome
Acid Sphingomyelinase Deficiency	901	C0268242	SPHINGOMYELINASE DEFICIENCY (Niemann-Pick Disease, Type A)	Disease or Syndrome
Acinar Cell Adenocarcinoma of the Pancreas	827	C0001418	Adenocarcinoma	Neoplastic Process
Acinar Cell Adenocarcinoma of the Pancreas	1000	C0206685	Acinar Cell Adenocarcinoma (Acinar Cell Carcinoma)	Neoplastic Process
Acinetobacter Bacteraemia	861	C0004610	Bacteraemia (Bacteremia)	Disease or Syndrome
Acinetobacter Infections	861	C0021311	Infections (Infection)	Disease or Syndrome
Acinetobacter Infections	1000	C0001139	Acinetobacter Infections	Disease or Syndrome
Acne	1000	C0702166	Acne	Disease or Syndrome
Acne	1000	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Keloid	1000	C0001145	Acne Keloid	Disease or Syndrome
Acne Keloid	861	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Keloid	861	C0702166	Acne	Disease or Syndrome
Acne Keloidalis	861	C0702166	Acne	Disease or Syndrome
Acne Keloidalis	861	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Keloidalis	1000	C0001145	Acne Keloidalis (Acne Keloid)	Disease or Syndrome
Acne Keloidalis Nuchae	660	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Keloidalis Nuchae	660	C0702166	Acne	Disease or Syndrome
Acne Keloidalis Nuchae	901	C0406631	Keloidalis nuchae	Disease or Syndrome
Acne Keloidalis Nuchae	734	C0001145	Acne Keloidalis (Acne Keloid)	Disease or Syndrome
Acne Papulopustulosa	694	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Papulopustulosa	694	C0702166	Acne	Disease or Syndrome
Acne Rosacea	1000	C0035854	Acne Rosacea (Rosacea)	Disease or Syndrome
Acne Rosacea	861	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Rosacea	861	C0702166	Acne	Disease or Syndrome
Acne Scar, Wrinkle	694	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Scar, Wrinkle	694	C0702166	Acne	Disease or Syndrome
Acne Scarring	694	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Scarring	694	C0702166	Acne	Disease or Syndrome
Acne Scarring of the Face	694	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Scarring of the Face	694	C0702166	Acne	Disease or Syndrome
Acne Scars	1000	C0702166	Acne	Disease or Syndrome
Acne Scars	1000	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acne Vulgaris	1000	C0001144	Acne Vulgaris	Disease or Syndrome
Acne Vulgaris	861	C0702166	Acne	Disease or Syndrome
Acne Vulgaris and Rosacea	1000	C0001144	Acne Vulgaris	Disease or Syndrome
Acne Vulgaris and Rosacea	1000	C0035854	Rosacea	Disease or Syndrome
Acne Vulgaris and Rosacea	861	C0702166	Acne	Disease or Syndrome
Acne Vulgaris II or III Degree	734	C0001144	Acne Vulgaris	Disease or Syndrome
Acne Vulgaris II or III Degree	660	C0702166	Acne	Disease or Syndrome
Acneiform Rash	861	C0015230	Rash (Exanthema)	Disease or Syndrome
Acneiform Rash	623	C0001144	Acne (Acne Vulgaris)	Disease or Syndrome
Acneiform Rash	623	C0702166	Acne	Disease or Syndrome
Acontractile Bladder	1000	C0865492	Acontractile bladder	Disease or Syndrome
Acoustic Neuroma	1000	C0027859	Acoustic Neuroma	Neoplastic Process
Acoustic Neuroma	861	C0027858	Neuroma	Neoplastic Process
Acoustic Schwannoma	861	C0027809	Schwannoma (Neurilemmoma)	Neoplastic Process
Acoustic Schwannoma	1000	C0027859	Schwannoma, Acoustic (Acoustic Neuroma)	Neoplastic Process
Acquired Amyotrophic Lateral Sclerosis	923	C0002736	Amyotrophic Lateral Sclerosis	Disease or Syndrome
Acquired Amyotrophic Lateral Sclerosis	741	C0026846	Amyotrophia (Muscular Atrophy)	Disease or Syndrome
Acquired Amyotrophic Lateral Sclerosis	861	C0154682	Lateral Sclerosis	Disease or Syndrome
Acquired Antithrombin III Deficiency	902	C0162429	Acquired deficiency (Malnutrition)	Disease or Syndrome
Acquired Antithrombin III Deficiency	923	C0272375	Antithrombin III Deficiency	Disease or Syndrome
Acquired Aplastic Anemia	901	C0002874	Aplastic Anemia	Disease or Syndrome
Acquired Aplastic Anemia	1000	C0271907	Acquired aplastic anaemia (Acquired aplastic anemia)	Disease or Syndrome
Acquired Aplastic Anemia	827	C0002871	Anaemia (Anemia)	Disease or Syndrome
Acquired Bleeding Disorder	1000	C0005779	bleeding disorder (Blood Coagulation Disorders)	Disease or Syndrome
Acquired Bleeding Disorder	861	C0012634	Disorder (Disease)	Disease or Syndrome
Acquired Brain Injury (Including Stroke)	1000	C0038454	Stroke (Cerebrovascular accident)	Disease or Syndrome
Acquired Coagulation Factor Deficiency	1000	C0001169	Acquired coagulation factor deficiency	Disease or Syndrome
Acquired Coagulation Factor Deficiency	902	C0162429	Acquired deficiency (Malnutrition)	Disease or Syndrome
Acquired Coagulation Factor Deficiency	923	C0849773	Coagulation Factor Deficiency	Disease or Syndrome
Acquired Cold Urticaria	827	C0009443	Cold (Common Cold)	Disease or Syndrome
Acquired Cold Urticaria	901	C0221207	Cold urticaria (Urticaria due to cold)	Disease or Syndrome
Acquired Cold Urticaria	827	C0042109	Urticaria	Disease or Syndrome
Acquired Haemophilia	861	C0019069	Haemophilia (Hemophilia A)	Disease or Syndrome
Acquired Haemophilia	861	C0684275	Haemophilia (Hemophilia, NOS)	Disease or Syndrome
Acquired Haemophilia	1000	C1096116	Acquired hemophilia	Disease or Syndrome
Acquired Heart Disease	901	C0018799	Heart disease (Heart Diseases)	Disease or Syndrome
Acquired Heart Disease	913	C0277564	Acquired disease	Disease or Syndrome
Acquired Heart Disease	827	C0012634	Disease	Disease or Syndrome
Acquired Immune Deficiency Syndrome	1000	C0001175	Acquired Immune Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired Immune Deficiency Syndrome	861	C0850497	immune deficiency (IMMUNOLOGIC DEFICIENCY)	Disease or Syndrome
Acquired Immune Deficiency Syndrome	875	C0162429	Acquired deficiency (Malnutrition)	Disease or Syndrome
Acquired Immune Deficiency Syndrome	812	C0039082	Syndrome	Disease or Syndrome
Acquired Immune Deficiency Syndrome (AIDS)	1000	C0001175	Acquired Immune Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired Immune Deficiency Syndrome (AIDS)	861	C0850497	immune deficiency (IMMUNOLOGIC DEFICIENCY)	Disease or Syndrome
Acquired Immune Deficiency Syndrome (AIDS)	875	C0162429	Acquired deficiency (Malnutrition)	Disease or Syndrome
Acquired Immune Deficiency Syndrome (AIDS)	812	C0039082	Syndrome	Disease or Syndrome
Acquired Immune Deficiency Syndrome Virus	637	C0039082	Syndrome	Disease or Syndrome
Acquired Immune Deficiency Syndrome Virus	673	C0850497	immune deficiency (IMMUNOLOGIC DEFICIENCY)	Disease or Syndrome
Acquired Immune Deficiency Syndrome Virus	771	C0001175	Acquired Immune Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired Immune Deficiency Syndrome Virus	686	C0162429	Acquired deficiency (Malnutrition)	Disease or Syndrome
Acquired Immunodeficiency Syndrome	901	C0021051	Immunodeficiency Syndrome (Immunologic Deficiency Syndromes)	Disease or Syndrome
Acquired Immunodeficiency Syndrome	1000	C0001175	Acquired Immuno-Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired Immunodeficiency Syndrome	827	C0039082	Syndrome	Disease or Syndrome
Acquired ImmunoDeficiency Syndrome (AIDS)	901	C0021051	Immunodeficiency Syndrome (Immunologic Deficiency Syndromes)	Disease or Syndrome
Acquired ImmunoDeficiency Syndrome (AIDS)	1000	C0001175	Acquired Immuno-Deficiency Syndrome (Acquired Immunodeficiency Syndrome)	Disease or Syndrome
Acquired ImmunoDeficiency Syndrome (AIDS)	827	C0039082	Syndrome	Disease or Syndrome
Acquired Immunodeficiency Syndrome Virus	645	C0039082	Syndrome	Disease or Syndrome
